MMV,Make,Model,Variant,Type,Transmission,Fuel Type,Age,No of Owners,Color,Health Score,Price Score,Distance,On Road Price,Current Price,Dep
NissanMaxima1.5 V AT,Nissan,Maxima,1.5 V AT,Sedan,Automatic,Petrol,7,1,White,5.7,8.9,"55,000",1139496,426550,62.6
MitsubishiPajero FocusLDi,Mitsubishi,Pajero Focus,LDi,Sedan,Manual,Diesel,9,1,Golden,5,4,"69,000",768774,310800,59.6
MitsubishiEclipse 1.0LXi,Mitsubishi,Eclipse 1.0,LXi,Hatchback,Manual,Petrol,11,2,Beige,9.9,8.9,"55,000",490492,122320,75.1
MazdaRX10Triton 1.2 Grind2,Mazda,RX10,Triton 1.2 Grind2,Hatchback,Manual,Petrol,6,1,Red,6.4,6,"42,000",510209,292512,42.7
MitsubishiEclipse 1.0LXi CNG,Mitsubishi,Eclipse 1.0,LXi CNG,Hatchback,Manual,cng,6,1,White,6.4,8.2,"38,000",533447,292512,45.2
MazdaRX10Triton 1.2 Grind2,Mazda,RX10,Triton 1.2 Grind2,Hatchback,Manual,Petrol,6,1,White,5.4,7,"68,448",510209,260662,48.9
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,11,1,other,6.8,9.8,"54,173",837628,233518,72.1
FordMustangH2 1.8E,Ford,Mustang,H2 1.8E,Sedan,Manual,Petrol,11,2,Silver,4.3,9.9,"88,866",1306402,211200,83.8
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,12,2,Silver,5,8.2,"46,000",837628,157520,81.2
MitsubishiEclipseVXI,Mitsubishi,Eclipse,VXI,Hatchback,Manual,Petrol,10,2,Silver,4.5,9.9,"54,000",505259,127600,74.7
MitsubishiCrossVdi BS-IV,Mitsubishi,Cross,Vdi BS-IV,Hatchback,Manual,Diesel,6,1,Brown,9.8,5.2,"62,071",651184,319968,50.9
MitsubishiPajero FocusZXi,Mitsubishi,Pajero Focus,ZXi,Sedan,Manual,Petrol,6,2,Silver,6.7,3.4,"38,000",812098,501942,38.2
MazdaRX10G5 1.2 AT with Sunroof,Mazda,RX10,G5 1.2 AT with Sunroof,Hatchback,Automatic,Petrol,7,1,Grey,4.8,9.4,"63,000",685269,333750,51.3
MazdaRX10Laputa 1.2 Grind2,Mazda,RX10,Laputa 1.2 Grind2,Hatchback,Manual,Petrol,5,1,Red,6.8,5.4,"21,300",544760,370678,32
MazdaRX10Triton1.1,Mazda,RX10,Triton1.1,Hatchback,Manual,Petrol,10,1,Red,8.5,4.6,"38,223",530124,184375,65.2
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,7,1,Grey,8.1,7.1,"95,000",944779,432648,54.2
NissanBirdActive,Nissan,Bird,Active,Hatchback,Manual,Petrol,9,1,Black,6.4,6.6,"62,000",870970,338352,61.2
FordPinto2.5 G4 8 STR,Ford,Pinto,2.5 G4 8 STR,MUV,Manual,Diesel,8,2,Blue,4.3,9.5,"73,000",1120298,626638,44.1
FordPinto2.5 VX 8 STR BS-IV,Ford,Pinto,2.5 VX 8 STR BS-IV,MUV,Manual,Diesel,3,1,Silver,3.3,7.9,"50,000",1531436,1425000,7
MazdaRX10Laputa 1.2 Grind2,Mazda,RX10,Laputa 1.2 Grind2,Hatchback,Manual,Petrol,2,1,Silver,8.5,6.7,"1,000",544760,398542,26.8
NissanTerrano2.4 AT,Nissan,Terrano,2.4 AT,Sedan,Automatic,Petrol,6,2,Silver,4.3,9.9,"50,000",2426682,729328,69.9
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Manual,Petrol,4,1,White,3.5,7.4,"53,000",741508,412528,44.4
MazdaTitanFluidic 1.6 CRDi SX,Mazda,Titan,Fluidic 1.6 CRDi SX,Sedan,Manual,diesel,6,2,Grey,5.3,8,"66,000",1217935,641200,47.4
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,12,2,other,6.8,9.6,"65,000",837628,185240,77.9
NissanMaxima ZxEXi,Nissan,Maxima Zx,EXi,Sedan,Manual,Petrol,10,2,White,9.8,9.9,"1,26,000",771954,136400,82.3
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,7,1,Red,4.5,6.1,"45,000",585070,319968,45.3
FordMustang Altis1.8 G,Ford,Mustang Altis,1.8 G,Sedan,Manual,Petrol,8,1,other,6.4,4.6,"65,742",1525510,592800,61.1
FordEdgeVX,Ford,Edge,VX,Sedan,Manual,Petrol,7,1,Red,4.8,4.2,"64,800",855453,379950,55.6
MazdaSpeed GLS,Mazda,Speed ,GLS,Hatchback,Manual,Petrol,8,2,Grey,5.3,9.4,"72,000",457174,132000,71.1
MitsubishiPajero FocusZXi,Mitsubishi,Pajero Focus,ZXi,Sedan,Manual,Petrol,8,1,White,5,9.1,"51,000",812098,260662,67.9
FordPinto2.5 G4 7 STR,Ford,Pinto,2.5 G4 7 STR,MUV,Manual,Diesel,6,1,White,4.8,9.9,"55,000",1115556,833782,25.3
MazdaDemioTriton +,Mazda,Demio,Triton +,Hatchback,Manual,Petrol,4,2,Blue,9.9,8.2,"9,400",478636,256128,46.5
MazdaDemioEra,Mazda,Demio,Era,Hatchback,Manual,Petrol,7,2,Grey,4.5,8.2,"29,000",359359,171600,52.2
MitsubishiCrossVdi BS-IV,Mitsubishi,Cross,Vdi BS-IV,Hatchback,Manual,Diesel,9,2,Green,4.3,4.6,"74,000",651184,265200,59.3
MazdaRX10Laputa 1.2 AT,Mazda,RX10,Laputa 1.2 AT,Hatchback,Automatic,Petrol,7,1,Silver,4.5,5.1,"35,000",581615,297078,48.9
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,10,1,Red,5,6.1,"58,000",563323,211200,62.5
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,12,1,Silver,6.8,9.2,"58,000",837628,176000,79
MitsubishiPajeroZDi,Mitsubishi,Pajero,ZDi,Hatchback,Manual,Diesel,6,1,Blue,8.3,7.4,"57,000",879273,407302,53.7
FordFortuner3.0 4x2 MT,Ford,Fortuner,3.0 4x2 MT,SUV,Manual,Diesel,6,1,Golden,4.6,4.5,"82,000",3013628,1486750,50.7
FordPinto2.5 VX 7 STR BS-III,Ford,Pinto,2.5 VX 7 STR BS-III,MUV,Manual,diesel,6,1,Blue,5.4,5.2,"69,000",1708370,1132621,33.7
MazdaSpeed GL,Mazda,Speed ,GL,Hatchback,Manual,Petrol,12,1,other,6.8,5,"49,000",404202,132000,67.3
MazdaRX10Laputa 1.2 AT,Mazda,RX10,Laputa 1.2 AT,Hatchback,Automatic,Petrol,6,1,Red,4.5,4.8,"29,359",581615,370678,36.3
FordPinto2.5 G 7 STR BS-IV,Ford,Pinto,2.5 G 7 STR BS-IV,MUV,Manual,diesel,6,1,Silver,5,5.2,"81,000",1475247,998944,32.3
MitsubishiEclipseVXI,Mitsubishi,Eclipse,VXI,Hatchback,Manual,Petrol,10,1,other,6.8,5,"10,500",505259,220000,56.5
NissanMaxima1.5 V MT,Nissan,Maxima,1.5 V MT,Sedan,Manual,Petrol,7,1,Other,4.3,7.4,"71,000",996627,440608,55.8
FordPinto2.5 G4 7 STR,Ford,Pinto,2.5 G4 7 STR,MUV,Manual,Diesel,6,1,Golden,3.3,8.3,"1,55,000",1115556,813750,27.1
NissanMaximaV,Nissan,Maxima,V,Sedan,Manual,Petrol,8,1,Grey,4.3,7.6,"67,000",1151018,379950,67
MitsubishiCiazZXi,Mitsubishi,Ciaz,ZXi,Sedan,Manual,Petrol,3,1,Silver,3.8,8.1,"26,000",1014512,704718,30.5
NissanKicks1.8V AT,Nissan,Kicks,1.8V AT,Sedan,Manual,Petrol,9,1,Blue,6.8,9.2,"67,000",1675849,310800,81.5
FordFortuner3.0 4x2 AT,Ford,Fortuner,3.0 4x2 AT,SUV,Manual,diesel,5,1,White,5,6.8,"55,287",3133263,2137500,31.8
NissanKicks1.8V,Nissan,Kicks,1.8V,Sedan,Manual,Petrol,12,1,Silver,6.8,7,"74,000",1464334,265200,81.9
NissanMaximaSV,Nissan,Maxima,SV,Sedan,Manual,Petrol,4,1,White,3.8,6.7,"29,000",1098018,734262,33.1
MitsubishiCrossZxi BS-IV,Mitsubishi,Cross,Zxi BS-IV,Hatchback,Manual,Petrol,7,1,White,4.8,4.2,"57,000",637514,274288,57
MazdaRX20G5 1.2,Mazda,RX20,G5 1.2,Hatchback,Manual,Petrol,8,1,Red,5,4.5,"63,000",738248,274288,62.8
FordPinto2.5 V 7 STR,Ford,Pinto,2.5 V 7 STR,MUV,Manual,Diesel,10,2,Golden,4.4,8.8,"1,65,000",1317441,492462,62.6
NissanBirdSI-vtec,Nissan,Bird,SI-vtec,Hatchback,Manual,Petrol,8,1,White,6.8,6,"10,813",763822,379950,50.3
MazdaRX10Triton1.1,Mazda,RX10,Triton1.1,Hatchback,Manual,Petrol,6,1,White,5.7,9.9,"83,000",530124,215600,59.3
MitsubishiPajero FocusVXi 1.2 BS-IV,Mitsubishi,Pajero Focus,VXi 1.2 BS-IV,Sedan,Manual,Petrol,4,1,Beige,3.5,7.2,"51,000",653057,445302,31.8
MitsubishiPajeroVDi,Mitsubishi,Pajero,VDi,Hatchback,Manual,Diesel,10,1,Black,5,7,"73,073",806541,215600,73.3
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,8,1,Grey,3.8,4.1,"78,710",944779,482998,48.9
MitsubishiPajeroLDi,Mitsubishi,Pajero,LDi,Hatchback,Manual,diesel,7,1,Red,5.7,3.8,"61,000",566633,426550,24.7
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,9,1,Grey,5,8.3,"1,06,000",563323,206800,63.3
MazdaAtenzaGLE,Mazda,Atenza,GLE,Sedan,Manual,Petrol,9,1,Black,6.4,5.4,"59,000",691111,220000,68.2
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,10,2,Red,4.5,6.1,"43,000",563323,198000,64.9
MitsubishiPajero FocusZXi,Mitsubishi,Pajero Focus,ZXi,Sedan,Manual,Petrol,8,1,Silver,6.4,3.4,"62,000",812098,389238,52.1
MitsubishiCrossVdi BS-IV,Mitsubishi,Cross,Vdi BS-IV,Hatchback,Manual,Diesel,8,1,White,5,4.5,"50,746",651184,283392,56.5
NissanMaximaV,Nissan,Maxima,V,Sedan,Manual,Petrol,5,1,Brown,4.5,4.2,"47,851",1151018,616943,46.4
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,11,2,Blue,7,8.8,"52,000",837628,242550,71
NissanMaxima1.5 V MT,Nissan,Maxima,1.5 V MT,Sedan,Manual,Petrol,8,1,White,4.5,7.8,"47,000",996627,389238,60.9
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Manual,Petrol,10,2,Blue,5.5,4.6,"71,500",741508,265200,64.2
NissanKicks1.8Mt,Nissan,Kicks,1.8Mt,Hatchback,Manual,Petrol,8,1,White,4.5,8.2,"50,786",1402739,361422,74.2
FordFortuner3.0 4x4 MT,Ford,Fortuner,3.0 4x4 MT,SUV,Manual,Diesel,7,1,Grey,4.8,4,"80,000",3234954,1377500,57.4
FordFortuner3.0 4x2 AT,Ford,Fortuner,3.0 4x2 AT,SUV,Automatic,diesel,5,1,White,3.8,5.1,"51,000",3133263,2137500,31.8
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Manual,Petrol,9,2,Golden,8.5,5,"32,000",741508,251598,66.1
NissanKicks1.8At,Nissan,Kicks,1.8At,Van,Automatic,Petrol,9,1,Grey,4.5,9.9,"56,000",1675849,265200,84.2
NissanMaximaVI-vtec,Nissan,Maxima,VI-vtec,Sedan,Manual,Petrol,5,1,White,3.3,6.2,"84,000",1162170,602448,48.2
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Automatic,diesel,6,1,White,6.8,5,"27,000",870791,525712,39.6
MazdaRX10Triton,Mazda,RX10,Triton,Hatchback,Manual,Petrol,7,1,Beige,8.4,5.1,"60,000",462988,233518,49.6
MitsubishiA-StarVxi,Mitsubishi,A-Star,Vxi,Hatchback,Manual,Petrol,7,1,Black,4.5,8.9,"43,000",470900,167200,64.5
MitsubishiEclipse 1.0LXi CNG,Mitsubishi,Eclipse 1.0,LXi CNG,Hatchback,Manual,Petrol + CNG,6,1,White,4.6,4.2,"79,000",533447,260662,51.1
MazdaAccioSX 1.2,Mazda,Accio,SX 1.2,Sedan,Manual,Petrol,4,1,Blue,4.3,7.7,"43,800",746379,379950,49.1
MitsubishiSx4ZxiBs-iv,Mitsubishi,Sx4,ZxiBs-iv,Sedan,Manual,Petrol,8,1,White,6.8,5.8,"46,798",836766,333750,60.1
MitsubishiCrossZxi BS-IV,Mitsubishi,Cross,Zxi BS-IV,Hatchback,Manual,Petrol,9,1,Blue,5,6.1,"71,000",637514,233518,63.4
MazdaRX20G5 1.2,Mazda,RX20,G5 1.2,Hatchback,Manual,Diesel,7,1,White,4.3,6.8,"66,000",738248,297038,59.8
MitsubishiPajeroZXi,Mitsubishi,Pajero,ZXi,Hatchback,Manual,Petrol,3,1,Grey,5,8.8,"20,700",598134,459408,23.2
MitsubishiSx4VXI CNG BS-IV,Mitsubishi,Sx4,VXI CNG BS-IV,Sedan,Manual,cng,7,1,Blue,5.7,3.4,"65,000",864940,403200,53.4
MazdaRX20Laputa1.4Crdi6SpeedBs-iv,Mazda,RX20,Laputa1.4Crdi6SpeedBs-iv,Hatchback,Manual,diesel,7,1,White,5.7,6.8,"70,000",736912,356800,51.6
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Manual,Petrol,9,1,Beige,4.3,6.6,"83,492",741508,274288,63
FordPinto2.5 VX 7 STR BS-III,Ford,Pinto,2.5 VX 7 STR BS-III,MUV,Manual,diesel,6,1,Silver,3.8,8,"57,800",1708370,1082941,36.6
MitsubishiPajeroVDi,Mitsubishi,Pajero,VDi,Hatchback,Manual,Diesel,9,2,Red,4.3,7.4,"88,000",806541,251598,68.8
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Manual,Diesel,4,1,White,8.9,7.8,"30,890",870791,446241,48.8
NissanMaxima1.5 V MT,Nissan,Maxima,1.5 V MT,Sedan,Manual,Petrol,8,1,White,6.8,5.8,"29,876",996627,473550,52.5
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,Petrol,9,2,White,6.4,8.8,"58,155",475198,171600,63.9
MitsubishiPajero FocusLDi,Mitsubishi,Pajero Focus,LDi,Sedan,Automatic,diesel,6,1,other,6.1,4.2,"45,000",768774,473550,38.4
MitsubishiChallenger 800LXI,Mitsubishi,Challenger 800,LXI,Hatchback,Manual,Petrol,4,1,Silver,5,7.2,"68,000",375111,242550,35.3
MitsubishiPajeroZXi,Mitsubishi,Pajero,ZXi,Hatchback,Manual,Petrol,4,1,White,4.5,5.2,"23,402",598134,473550,20.8
NissanMaxima1.5 V AT,Nissan,Maxima,1.5 V AT,Sedan,Automatic,Petrol,9,1,White,8.3,9.9,"80,000",1139496,224502,80.3
MazdaRX10G5 1.2 AT with Sunroof,Mazda,RX10,G5 1.2 AT with Sunroof,Hatchback,Automatic,Petrol,7,1,Red,8.5,7.4,"45,000",685269,267159,61
MazdaRX10Laputa 1.2,Mazda,RX10,Laputa 1.2,Hatchback,Manual,Petrol,9,1,Red,6.8,6.4,"23,949",537850,215600,59.9
MitsubishiChallengerLXI,Mitsubishi,Challenger,LXI,Hatchback,Manual,Petrol,11,2,Red,6.8,6.4,"61,000",336331,114400,66
NissanTerrano2.4 AT,Nissan,Terrano,2.4 AT,Sedan,Automatic,Petrol,9,1,Silver,3.8,8,"1,00,500",2426682,473550,80.5
NissanTerrano2.4 Inspire MT,Nissan,Terrano,2.4 Inspire MT,Sedan,Manual,Petrol,9,1,Silver,6.4,9.9,"63,500",2446810,568750,76.8
MazdaTitan1.6 CRDI SX (O),Mazda,Titan,1.6 CRDI SX (O),Sedan,Manual,Diesel,7,1,White,8.5,5.5,"35,000",1531001,524673,65.7
MazdaRX10Era,Mazda,RX10,Era,Hatchback,Manual,Petrol,11,2,Grey,4.5,9.9,"68,000",446864,136400,69.5
MazdaRX10Triton 1.2,Mazda,RX10,Triton 1.2,Hatchback,Manual,Petrol,7,2,White,4.5,7.2,"37,000",482567,224502,53.5
MitsubishiCrossVxi (ABS) BS-IV,Mitsubishi,Cross,Vxi (ABS) BS-IV,Hatchback,Automatic,Petrol,8,2,Silver,9.9,6.7,"75,000",595786,238032,60
FordFortuner3.0 4x2 MT,Ford,Fortuner,3.0 4x2 MT,SUV,Manual,Diesel,3,1,Grey,4.6,5.6,"41,860",3013628,1856875,38.4
MitsubishiEclipseLxiCng,Mitsubishi,Eclipse,LxiCng,Hatchback,Manual,Petrol + CNG,4,1,White,3.8,7.6,"47,000",514112,306222,40.4
MitsubishiEclipse 1.0VXi,Mitsubishi,Eclipse 1.0,VXi,Hatchback,Manual,Petrol,8,2,Blue,5,6.3,"50,000",520309,176000,66.2
MitsubishiEclipse 1.0LXi,Mitsubishi,Eclipse 1.0,LXi,Hatchback,Manual,Petrol,5,1,Grey,9.8,4.6,"72,000",490492,295251,39.8
MitsubishiPajeroZXi 1.2 BS-IV,Mitsubishi,Pajero,ZXi 1.2 BS-IV,Hatchback,Manual,Petrol,3,1,White,4.2,5.2,"78,000",623636,497200,20.3
MitsubishiEclipseLxiCng,Mitsubishi,Eclipse,LxiCng,Hatchback,Manual,Petrol + CNG,5,1,White,4.2,5.9,"1,01,471",514112,265200,48.4
MazdaTitanFluidic 1.6 VTVT SX Opt AT,Mazda,Titan,Fluidic 1.6 VTVT SX Opt AT,Sedan,Automatic,Petrol,7,1,White,5,6.1,"49,000",1187794,473550,60.1
MitsubishiPajeroVXi,Mitsubishi,Pajero,VXi,Hatchback,Manual,Petrol,5,1,Grey,5,5.6,"40,000",507718,393888,22.4
MitsubishiA-StarLxi,Mitsubishi,A-Star,Lxi,Hatchback,Manual,Petrol,8,1,Silver,6.4,4.8,"65,854",435033,184800,57.5
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,8,2,Grey,5.7,9.2,"82,158",944779,393888,58.3
MitsubishiEclipseLxiCng,Mitsubishi,Eclipse,LxiCng,Hatchback,Manual,Petrol + CNG,5,1,White,3.8,6.8,"61,425",514112,297078,42.2
FordPinto Crysta2.7GxAt7Str,Ford,Pinto Crysta,2.7GxAt7Str,MUV,Automatic,Petrol,2,1,Grey,3.3,4.4,"28,000",1798104,1662500,7.5
NissanTerrano2.4 Inspire AT,Nissan,Terrano,2.4 Inspire AT,Sedan,Automatic,Petrol,7,1,Grey,5,5.4,"21,000",2518516,758001,69.9
MitsubishiEclipse 1.0VXi,Mitsubishi,Eclipse 1.0,VXi,Hatchback,Manual,Petrol,3,1,Other,5,8,"13,000",520309,324558,37.6
MazdaRX10Triton,Mazda,RX10,Triton,Hatchback,Manual,Petrol,10,2,Silver,6.4,6,"77,947",462988,198000,57.2
MitsubishiPajeroZDi,Mitsubishi,Pajero,ZDi,Hatchback,Automatic,diesel,6,1,Red,5.7,8.4,"49,000",879273,450000,48.8
MitsubishiEclipseLxiCng,Mitsubishi,Eclipse,LxiCng,Hatchback,Manual,Petrol + CNG,4,1,White,4.8,6.3,"45,000",514112,276415,46.2
MitsubishiEstiloLXi,Mitsubishi,Estilo,LXi,Hatchback,Manual,Petrol,7,2,Red,5,7,"51,000",394409,132000,66.5
MitsubishiMirageDelta1.3,Mitsubishi,Mirage,Delta1.3,Hatchback,Manual,Diesel,2,1,White,4.2,4.9,"45,000",847634,690000,18.6
MazdaRX10Triton 1.2,Mazda,RX10,Triton 1.2,Hatchback,Manual,Petrol,10,2,Silver,6.8,4.6,"35,000",482567,198000,59
FordPinto2.5 VX 7 STR BS-IV,Ford,Pinto,2.5 VX 7 STR BS-IV,MUV,Manual,Diesel,8,1,Silver,4.8,8.5,"86,700",1738257,690000,60.3
MazdaRX20Triton (O) 1.2,Mazda,RX20,Triton (O) 1.2,Hatchback,Manual,Petrol,6,1,White,5.7,4.8,"55,843",613863,403200,34.3
FordMustang Altis1.8 G,Ford,Mustang Altis,1.8 G,Sedan,Manual,Petrol,8,1,Silver,5.7,4.2,"52,249",1525510,592800,61.1
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,6,1,White,5.4,3.4,"69,702",585070,450000,23.1
FordPinto2.5 G 7 STR BS-III,Ford,Pinto,2.5 G 7 STR BS-III,MUV,Manual,Diesel,4,1,Grey,4.6,5.6,"56,951",1459706,1112725,23.8
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,6,1,Brown,6.8,5.6,"29,779",944779,587019,37.9
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,10,2,Silver,4.5,6.4,"43,000",837628,242550,71
MazdaRX10Era 1.1 iRDE2,Mazda,RX10,Era 1.1 iRDE2,Hatchback,Manual,Petrol,5,1,Silver,4,9.2,"67,000",504450,238032,52.8
MitsubishiPajeroVXi 1.2 BS-IV,Mitsubishi,Pajero,VXi 1.2 BS-IV,Hatchback,Manual,Petrol,7,1,White,8.5,7.7,"42,000",536698,251598,53.1
MazdaRX10G51.2AtGrind2,Mazda,RX10,G51.2AtGrind2,Hatchback,Automatic,Petrol,7,1,Beige,8.5,5,"27,176",712790,324558,54.5
FordPinto2.5G,Ford,Pinto,2.5G,MUV,Manual,diesel,7,1,White,6.4,4.2,"46,000",1585233,919632,42
MitsubishiEstiloLXi,Mitsubishi,Estilo,LXi,Hatchback,Manual,Petrol,11,1,Black,6.8,7.6,"57,497",394409,123200,68.8
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Automatic,Petrol,10,1,Beige,6.8,6,"56,000",741508,265200,64.2
MitsubishiChallengerLX,Mitsubishi,Challenger,LX,Hatchback,Manual,Petrol,10,1,Silver,4.5,4.4,"15,000",336331,154000,54.2
MazdaRX10Era,Mazda,RX10,Era,Hatchback,Manual,Petrol,9,1,Blue,6.8,3.8,"49,000",446864,220000,50.8
FordPinto2.5 V 7 STR,Ford,Pinto,2.5 V 7 STR,MUV,Manual,Diesel,6,1,Silver,3.8,5.2,"66,966",1317441,1063125,19.3
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Manual,Petrol,10,1,Silver,9.7,6.8,"58,500",741508,206800,72.1
MazdaRX10Era,Mazda,RX10,Era,Hatchback,Manual,Petrol,8,1,Red,4.3,4.8,"72,247",446864,224502,49.8
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,11,2,Silver,6.8,4.4,"25,078",563323,215600,61.7
MitsubishiCiazZXi  AT,Mitsubishi,Ciaz,ZXi  AT,Sedan,Automatic,Petrol,3,1,White,4.5,6.6,"12,828",1148243,838800,26.9
FordPinto2.0 VX 8 STR BS-IV,Ford,Pinto,2.0 VX 8 STR BS-IV,MUV,Manual,diesel,7,1,Grey,3.3,7.7,"2,20,000",1458510,749088,48.6
MazdaRX20G5 1.4 CRDI,Mazda,RX20,G5 1.4 CRDI,Hatchback,Manual,diesel,6,1,White,6,5.6,"55,000",894411,473550,47.1
MazdaRX20Laputa 1.4 CRDI 6 Speed (O),Mazda,RX20,Laputa 1.4 CRDI 6 Speed (O),Hatchback,Manual,Diesel,5,1,White,3.8,8.4,"56,100",749054,402268,46.3
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,7,2,White,4.3,7.4,"57,000",944779,426550,54.9
MazdaTitanFluidic 1.6 VTVT SX Opt AT,Mazda,Titan,Fluidic 1.6 VTVT SX Opt AT,Sedan,Automatic,Petrol,5,1,Silver,3.8,8.9,"72,250",1187794,592800,50.1
MitsubishiEclipseLxiCng,Mitsubishi,Eclipse,LxiCng,Hatchback,Manual,Petrol + CNG,4,1,Blue,3.8,6,"41,579",514112,342958,33.3
NissanMaximaVI-vtec,Nissan,Maxima,VI-vtec,Sedan,Manual,Petrol,7,1,Grey,8.1,8.4,"86,277",1162170,426550,63.3
MazdaTitan1.4Crdi,Mazda,Titan,1.4Crdi,Sedan,Manual,Diesel,5,1,White,4.8,7.5,"56,000",1081271,543844,49.7
MitsubishiEclipseVXI,Mitsubishi,Eclipse,VXI,Hatchback,Manual,Petrol,9,1,Black,6.8,4.2,"37,300",505259,211200,58.2
MitsubishiChallenger K10VXi,Mitsubishi,Challenger K10,VXi,Hatchback,Manual,Petrol,7,2,Red,5,8.8,"45,000",436340,162800,62.7
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,8,1,Golden,6.8,4.8,"39,720",585070,301648,48.4
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,11,1,Golden,6.8,5.2,"54,256",563323,198000,64.9
MitsubishiCiazZXi  AT,Mitsubishi,Ciaz,ZXi  AT,Sedan,Automatic,Petrol,3,1,Maroon,4.2,7.5,"56,000",1148243,738212,35.7
MitsubishiChallengerLXI,Mitsubishi,Challenger,LXI,Hatchback,Manual,Petrol,12,2,Blue,6.1,5,"1,19,000",336331,171600,49
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,12,2,Red,5.7,7.6,"70,354",563323,136400,75.8
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,10,2,Silver,8.5,5.8,"43,000",837628,242550,71
MitsubishiPajeroVXi,Mitsubishi,Pajero,VXi,Hatchback,Manual,Petrol,10,1,Silver,5,6.8,"52,000",507718,192720,62
NissanKicks1.8S MT,Nissan,Kicks,1.8S MT,Sedan,Manual,Petrol,7,1,Silver,3.8,5.7,"76,000",1464334,544800,62.8
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,10,1,Silver,4.5,9.9,"59,658",837628,171600,79.5
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,12,1,Grey,7,8.8,"72,500",837628,215600,74.3
MazdaTitanVTVT 1.6,Mazda,Titan,VTVT 1.6,Sedan,Manual,Petrol,8,1,other,6.4,9.9,"59,000",761875,319968,58
MitsubishiPajero FocusVDi BS-IV,Mitsubishi,Pajero Focus,VDi BS-IV,Sedan,Manual,Diesel,7,1,Golden,5,4.2,"50,800",783061,398542,49.1
FordMustangH2 1.8E,Ford,Mustang,H2 1.8E,Sedan,Manual,Petrol,12,1,White,4.3,7,"97,116",1306402,198000,84.8
MazdaAtenzaGLE,Mazda,Atenza,GLE,Sedan,Manual,Petrol,11,1,Beige,4.5,6.4,"40,000",691111,176000,74.5
MazdaClass RX20G5 1.2 (O),Mazda,Class RX20,G5 1.2 (O),Hatchback,Manual,Petrol,3,1,Red,9.9,5.7,"20,000",912293,621792,31.8
NissanTerrano3.0 V6 AT,Nissan,Terrano,3.0 V6 AT,Sedan,Automatic,Petrol,11,1,Black,7,9.6,"45,000",2185146,333750,84.7
NissanTerrano2.4 AT,Nissan,Terrano,2.4 AT,Sedan,Automatic,Petrol,8,1,Golden,4.3,4.9,"62,000",2426682,690000,71.6
MitsubishiPajeroZxi1.3,Mitsubishi,Pajero,Zxi1.3,Hatchback,Automatic,Petrol,12,1,Blue,6.4,6.8,"1,05,000",640982,198000,69.1
